,Address,Address Latitude,Address Longitude,Venue,Venue Distance,Venue Latitude,Venue Longitude,Venue Category
0,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Turnberry Golf Club,915,43.72309511060297,-79.77265340184411,Golf Course
1,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Lowe's,838,43.7236864,-79.7698616,Hardware Store
2,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Tim Hortons,736,43.7198044429804,-79.77324396371841,Coffee Shop
3,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Lakelands Park,336,43.71893867344253,-79.76162647611967,Lake
4,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Booty Camp Fitness,366,43.71395276978652,-79.76340293884277,Gym / Fitness Center
5,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Macs Milk,869,43.71140338157853,-79.77235228746044,Convenience Store
6,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Snow Hill,903,43.71401067758663,-79.75450807291062,Ski Area
7,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Nine 18,924,43.72312528665441,-79.77275795700767,American Restaurant
8,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Esso,714,43.71969810470728,-79.7730038451539,Gas Station
9,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Williams Parkway Carpool Lot GO Bus Stop,1097,43.71649905343813,-79.75129365371838,Bus Station
10,"41 Martree Cres Brampton, ON",43.717064,-79.76490799999999,Williams Parkway Dog Park,1102,43.717660687340334,-79.75123341647719,Dog Run
11,"#312 - 156 ENFIELD PL Mississauga, ON",43.590847,-79.63398000000001,Kariya Park,239,43.58962334649878,-79.6364164352417,Park
12,"#312 - 156 ENFIELD PL Mississauga, ON",43.590847,-79.63398000000001,Mississauga Celebration Square,782,43.58826934590071,-79.64301473543023,Plaza
13,"#312 - 156 ENFIELD PL Mississauga, ON",43.590847,-79.63398000000001,Freshly Squeezed,637,43.593135756238034,-79.64122261745564,Juice Bar
14,"#312 - 156 ENFIELD PL Mississauga, ON",43.590847,-79.63398000000001,Udupi Madras Cafe,170,43.59151118437494,-79.63588968635187,Indian Restaurant
