,Address,Address Latitude,Address Longitude,Venue,Venue Distance,Venue Latitude,Venue Longitude,Venue Category
0,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Underpass Park,149,43.65576361726024,-79.3548059463501,Park
1,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Impact Kitchen,161,43.65636850543279,-79.35697968750694,Restaurant
2,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Corktown Common,180,43.655617799749734,-79.3562113397429,Park
3,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Merchants of Green Coffee,332,43.659916,-79.353963,Coffee Shop
4,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Dark Horse Espresso Bar,280,43.65849807585409,-79.35235639621163,Coffee Shop
5,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Souk Tabule,375,43.65375556880743,-79.35439006096168,Mediterranean Restaurant
6,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,White Lily Diner,379,43.65867460038718,-79.35107379221633,Diner
7,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Quad East,365,43.65868140211272,-79.35127335463245,Gym / Fitness Center
8,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Sumach Espresso,364,43.65813540553308,-79.35951549011845,Coffee Shop
9,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,The Broadview Hotel,473,43.6590599,-79.35003,Hotel
10,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,ODIN Cafe + Bar,108,43.656738544928054,-79.35650305267754,Café
11,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Rooftop At Broadview Hotel,473,43.6591094703885,-79.35007412650944,Hotel Bar
12,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Toronto Humane Society,129,43.65769802359708,-79.3565828808708,Animal Shelter
13,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Dominion Pub and Kitchen,301,43.65691857501867,-79.35896684476664,Pub
14,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Tandem Coffee,658,43.65355870959944,-79.36180945913513,Coffee Shop
15,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Eastbound Brewing Company,455,43.65900780122884,-79.35024989233756,Brewery
16,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Cooper Koo Family YMCA,480,43.65324910177244,-79.35800826343677,Distribution Center
17,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Roselle Desserts,679,43.653446723052674,-79.3620167174383,Bakery
18,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Ruby WatchCo.,540,43.65914910163365,-79.34916965901455,Restaurant
19,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,The Comrade,640,43.65934649817776,-79.34793199050331,Bar
20,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Hi-Lo,628,43.65925400300397,-79.34803521371407,Dive Bar
21,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Boxcar Social,735,43.659722741351565,-79.34687077721378,Café
22,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Regent Park Aquatic Centre,632,43.6606003130796,-79.36139162915349,Pool
23,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,The Aviary,385,43.65363394725125,-79.35466212072043,Pub
24,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Royal Canadian Curling Club,560,43.65998933676023,-79.34955038817158,Curling Ice
25,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Young Centre for the Performing Arts,721,43.65082466432163,-79.35759324240415,Performing Arts Venue
26,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,The Cannonball,265,43.65829890360228,-79.35239704706817,Coffee Shop
27,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,The Distillery Historic District,828,43.65024435658077,-79.35932278633118,Historic Site
28,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,I’ll Be Seeing You,621,43.659249861543486,-79.34812146928077,Bar
29,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,SOMA chocolatemaker,755,43.65062222570758,-79.35812684032683,Chocolate Shop
30,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Tertulia,514,43.658744,-79.349276,Café
31,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,La Carnita,694,43.65962580371511,-79.3473598770943,Taco Place
32,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Tabule,774,43.65973096534363,-79.3463408134466,Middle Eastern Restaurant
33,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,The Opera House,560,43.65890447141719,-79.34874429043093,Rock Club
34,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Cluny Bistro & Boulangerie,754,43.650565116074695,-79.35784287026658,French Restaurant
35,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Body Blitz Spa East,455,43.65473505045365,-79.35987433132891,Spa
36,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Balzac's Coffee,869,43.649797141476185,-79.35914199644303,Coffee Shop
37,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Sukhothai,855,43.658444465539525,-79.36568085121628,Thai Restaurant
38,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Distillery Sunday Market,943,43.650074989330655,-79.36183171318665,Farmers Market
39,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Brick Street Bakery,802,43.650574039683974,-79.35953942981405,Bakery
40,"#1206 - 51 TROLLEY CRES Toronto, ON",43.657074,-79.355232,Arvo,936,43.64996280366945,-79.36144178325522,Coffee Shop
